Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.9099999999999999,0.4451364597922203
100% Corpus,9,0.31,symmetric,0.3262672581676551
100% Corpus,9,0.61,0.01,0.3203441117112399
100% Corpus,9,0.61,0.31,0.33850127678566877
100% Corpus,9,0.61,0.61,0.3649357822164403
100% Corpus,9,0.61,0.9099999999999999,0.35108104564647946
100% Corpus,9,0.61,symmetric,0.35796073440585463
100% Corpus,9,0.9099999999999999,0.01,0.30795988694314425
100% Corpus,9,0.9099999999999999,0.31,0.3097793239966976
100% Corpus,9,0.9099999999999999,0.61,0.3218605121628701
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.332638264856098
100% Corpus,9,0.9099999999999999,symmetric,0.3494720753223952
100% Corpus,9,symmetric,0.01,0.3267929778897745
100% Corpus,9,symmetric,0.31,0.3837813267212506
100% Corpus,9,symmetric,0.61,0.42754319361705595
100% Corpus,9,symmetric,0.9099999999999999,0.402287118865201
100% Corpus,9,symmetric,symmetric,0.38295407438436024
100% Corpus,9,asymmetric,0.01,0.3654217921277875
100% Corpus,9,asymmetric,0.31,0.4296927132387242
100% Corpus,9,asymmetric,0.61,0.4562175003411107
100% Corpus,9,asymmetric,0.9099999999999999,0.3526079760768608
100% Corpus,9,asymmetric,symmetric,0.41537736163321387
100% Corpus,10,0.01,0.01,0.3311309279316806
100% Corpus,10,0.01,0.31,0.3643306116052899
100% Corpus,10,0.01,0.61,0.3967687773348788
100% Corpus,10,0.01,0.9099999999999999,0.4089677075088753
100% Corpus,10,0.01,symmetric,0.3692073457961723
100% Corpus,10,0.31,0.01,0.3642373467443002
100% Corpus,10,0.31,0.31,0.3649762790188933
100% Corpus,10,0.31,0.61,0.4009024014691095
100% Corpus,10,0.31,0.9099999999999999,0.3975183128694539
100% Corpus,10,0.31,symmetric,0.3750029073505594
100% Corpus,10,0.61,0.01,0.35449421345041626
100% Corpus,10,0.61,0.31,0.3386824232338704
100% Corpus,10,0.61,0.61,0.3513599828628414
100% Corpus,10,0.61,0.9099999999999999,0.3507828697832
100% Corpus,10,0.61,symmetric,0.3755796705768064
100% Corpus,10,0.9099999999999999,0.01,0.3332322151357847
100% Corpus,10,0.9099999999999999,0.31,0.3294433167374926
100% Corpus,10,0.9099999999999999,0.61,0.3362388937574484
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3766519324002386
100% Corpus,10,0.9099999999999999,symmetric,0.3458299275246922
100% Corpus,10,symmetric,0.01,0.3732055983679979
100% Corpus,10,symmetric,0.31,0.3809011066998839
100% Corpus,10,symmetric,0.61,0.4185493841476598
100% Corpus,10,symmetric,0.9099999999999999,0.44059834617299287
100% Corpus,10,symmetric,symmetric,0.3998112286575436
100% Corpus,10,asymmetric,0.01,0.39608849132522916
100% Corpus,10,asymmetric,0.31,0.47008810843118853
100% Corpus,10,asymmetric,0.61,0.4380774128704129
100% Corpus,10,asymmetric,0.9099999999999999,0.3541912577999836
100% Corpus,10,asymmetric,symmetric,0.497841439242535
