Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.61,0.3434976471326584
75% Corpus,5,symmetric,0.9099999999999999,0.4064787520460079
75% Corpus,5,symmetric,symmetric,0.2990893475030291
75% Corpus,5,asymmetric,0.01,0.3008516153009945
75% Corpus,5,asymmetric,0.31,0.385663475913163
75% Corpus,5,asymmetric,0.61,0.36808950726876566
75% Corpus,5,asymmetric,0.9099999999999999,0.36642536633509176
75% Corpus,5,asymmetric,symmetric,0.37849825059824793
75% Corpus,6,0.01,0.01,0.28129051259472443
75% Corpus,6,0.01,0.31,0.3366089837347573
75% Corpus,6,0.01,0.61,0.4143799152652456
75% Corpus,6,0.01,0.9099999999999999,0.4221669811283308
75% Corpus,6,0.01,symmetric,0.33116612332515
75% Corpus,6,0.31,0.01,0.31245830081231835
75% Corpus,6,0.31,0.31,0.3183420649028497
75% Corpus,6,0.31,0.61,0.3585771741079719
75% Corpus,6,0.31,0.9099999999999999,0.3844275607595417
75% Corpus,6,0.31,symmetric,0.29328452507801456
75% Corpus,6,0.61,0.01,0.26218469241504916
75% Corpus,6,0.61,0.31,0.2725273008287763
75% Corpus,6,0.61,0.61,0.32150891086496486
75% Corpus,6,0.61,0.9099999999999999,0.3572319677601496
75% Corpus,6,0.61,symmetric,0.26978646853332505
75% Corpus,6,0.9099999999999999,0.01,0.2805802068560884
75% Corpus,6,0.9099999999999999,0.31,0.33909010750587054
75% Corpus,6,0.9099999999999999,0.61,0.3235417511161371
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.30228559760427515
75% Corpus,6,0.9099999999999999,symmetric,0.30285990146003816
75% Corpus,6,symmetric,0.01,0.30784180885244977
75% Corpus,6,symmetric,0.31,0.30949709330573133
75% Corpus,6,symmetric,0.61,0.38830577867045984
75% Corpus,6,symmetric,0.9099999999999999,0.4083954468402244
75% Corpus,6,symmetric,symmetric,0.2799422476743341
75% Corpus,6,asymmetric,0.01,0.3312493312774333
75% Corpus,6,asymmetric,0.31,0.3172582339832466
75% Corpus,6,asymmetric,0.61,0.4080323749071865
75% Corpus,6,asymmetric,0.9099999999999999,0.44184330569187913
75% Corpus,6,asymmetric,symmetric,0.3642569400291705
75% Corpus,7,0.01,0.01,0.31677078116058033
75% Corpus,7,0.01,0.31,0.3905389567765952
75% Corpus,7,0.01,0.61,0.45236111485687086
75% Corpus,7,0.01,0.9099999999999999,0.3519194287541461
75% Corpus,7,0.01,symmetric,0.3319110179447113
75% Corpus,7,0.31,0.01,0.3279479672214931
75% Corpus,7,0.31,0.31,0.2871188103583363
75% Corpus,7,0.31,0.61,0.3453235359451264
75% Corpus,7,0.31,0.9099999999999999,0.4237189922028379
75% Corpus,7,0.31,symmetric,0.29472327761092487
75% Corpus,7,0.61,0.01,0.28945823175283153
75% Corpus,7,0.61,0.31,0.3055209189705171
75% Corpus,7,0.61,0.61,0.30745055331050025
75% Corpus,7,0.61,0.9099999999999999,0.3762346426700444
75% Corpus,7,0.61,symmetric,0.28908039397082275
75% Corpus,7,0.9099999999999999,0.01,0.2946073162699819
75% Corpus,7,0.9099999999999999,0.31,0.2926416539405472
75% Corpus,7,0.9099999999999999,0.61,0.37297278238600756
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3618101931512067
